TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
BOS,BOS vs. NYK,1/31/18,W,48,105.1,75.3,29.8,67.5,2.7,20.3,18.2,79,53.8,10.2,54.8,56.1,97.5,73.3
BOS,BOS @ DEN,1/29/18,W,48,119.4,118.3,1.1,65.1,2.55,20.6,30.6,59.3,45.6,11.8,56.6,58.2,93,49
BOS,BOS @ GSW,1/27/18,L,48,107.1,111.2,-4.1,45.9,1.06,13.1,29.4,74.5,51,16.3,51.8,54.9,98,42.3
BOS,BOS @ LAC,1/24/18,W,48,107.6,99,8.6,64.1,1.92,17.2,27.8,74,50,12.4,49.5,55,104,54
BOS,BOS @ LAL,1/23/18,L,48,109.2,111.3,-2.2,52.4,2,16.9,20.4,63.8,43.9,11.2,55,56.7,97.5,50.6
BOS,BOS vs. ORL,1/21/18,L,48,102.2,109.6,-7.4,59.5,1.47,17.1,29.2,65.4,48,16.1,48.2,52.1,93.5,48.6
BOS,BOS vs. PHI,1/18/18,L,48,82.5,91.8,-9.3,43.3,0.68,11.2,13.3,72.5,41.2,19.6,45.3,49.1,97,39
BOS,BOS vs. NOP,1/16/18,L,53,101.8,103.6,-1.8,67.5,1.42,17.5,27.4,71.2,48.8,17.1,49,52.3,100.98,43.4
BOS,BOS @ PHI,1/11/18,W,48,110.7,100,10.7,55.8,1.33,17,28.6,84.4,55.3,17.5,55.6,58.5,103,54.1
BOS,BOS @ BKN,1/6/18,W,48,92.6,89.5,3.1,32.4,2.4,9.7,28.1,54.8,41.3,5.3,40.3,41.6,94.5,52.1
BOS,BOS vs. MIN,1/5/18,W,48,100,93.3,6.7,63.2,2.18,17.5,37.3,76.9,55.9,12.1,43.6,45.6,90.5,54.8
BOS,BOS vs. CLE,1/3/18,W,48,101,86.3,14.7,65.9,1.69,19.1,24.5,79.3,53.2,15.8,51.1,52.7,101.5,59
BOS,BOS vs. BKN,12/31/17,W,48,108,104,4,53.8,1.24,16,21.3,72.9,50,17,58.2,60,100.5,52.8
BOS,BOS vs. HOU,12/28/17,W,48,99,98,1,48.6,1.06,13.8,24.5,77.4,52,17,50,53.5,100,53.8
BOS,BOS @ CHA,12/27/17,W,48,106.3,94.8,11.5,54.1,1.25,16.1,19.5,66.1,47,16.7,57.1,60.9,96,56.9
BOS,BOS vs. WAS,12/25/17,L,48,105.1,114.4,-9.3,51.3,1.18,15.6,24.4,69.6,49.5,17.3,56.8,58.2,97.5,44.4
BOS,BOS vs. CHI,12/23/17,W,48,120.6,92.9,27.7,65.9,4.83,21.2,22,71.4,48.1,6.2,54.3,57.8,98,62.2
BOS,BOS @ NYK,12/21/17,L,48,98.9,109.7,-10.7,51.5,1.7,13.7,25.9,61.4,41.8,10.6,45.9,49.3,93.5,43.2
